ticker,title,summary,link,published
COST,Costco Faces Customer Lawsuit Over Tariff Refunds,,https://finance.yahoo.com/news/costco-faces-customer-lawsuit-over-145500023.html,1773413700
COST,Costco shares bold expansion plan to reach new markets,,https://finance.yahoo.com/m/69b6931d-0e6f-3049-ac40-f8f72dcd4f0d/costco-shares-bold-expansion.html,1773417780
COST,How Costco’s Tariff-Refund Lawsuit and Membership-Fee Strength May Impact Costco Wholesale (COST) Investors,,https://finance.yahoo.com/news/costco-tariff-refund-lawsuit-membership-161048019.html,1773418248
COST,How $200 Oil Impacts Your Stocks and Your Wallet,,https://finance.yahoo.com/m/94c4c982-50a5-32ee-a7ab-f04fd137c442/how-%24200-oil-impacts-your.html,1773419708
COST,"Americans are demanding refunds from the $180 billion in tariffs they paid for, and they’re suing companies like Costco to make it happen",,https://finance.yahoo.com/news/americans-demanding-refunds-180-billion-174939469.html,1773424179
COST,Costco Says Shoppers Are Still Spending,,https://finance.yahoo.com/news/costco-says-shoppers-still-spending-190101466.html,1773428461
COST,Rising gas prices could offset any tax refunds for US consumers,,https://finance.yahoo.com/video/rising-gas-prices-could-offset-195456703.html,1773431696
COST,"Could Investing $10,000 in Costco Wholesale Make You Richer?",,https://finance.yahoo.com/m/877d67cb-41cb-3e40-a3b2-a1e9190622b7/could-investing-%2410%2C000-in.html,1773433980
COST,Shopper Sues Costco for Tariff Refunds,,https://finance.yahoo.com/m/3a570660-f8b9-3cc0-9f28-2e7d502e4128/shopper-sues-costco-for.html,1773440341
COST,Walmart v.s Costco: Which Is the Better Dividend Stock in 2026?,,https://finance.yahoo.com/m/7fb36013-ddea-3879-be4f-933f65f487a1/walmart-v.s-costco%3A-which-is.html,1773442802
COST,AI winners and losers: This sector is seen as ’a clear beneficiary’,,https://finance.yahoo.com/news/ai-winners-losers-sector-seen-113756747.html,1773488276
COST,"Inherit an IRA? If you don't follow the latest tax rules, it could cost you thousands — here's how to limit the damage",,https://finance.yahoo.com/news/inherit-ira-dont-latest-tax-114500547.html,1773488700
COST,Here's Why USA Rare Earth Shares Crushed The Market This Week,,https://finance.yahoo.com/m/4d5b2251-2e0a-3af9-b7a9-058fdb893df1/here%27s-why-usa-rare-earth.html,1773488907
COST,RLUSD Is on Track to Hit $2 Billion Market Cap: Why It Could Be the Biggest Risk to XRP,,https://finance.yahoo.com/m/48ed0a0b-e411-3eea-95b6-5013d0a6805e/rlusd-is-on-track-to-hit-%242.html,1773488946
COST,FMCSA: Stop buying and selling paper trucking companies,,https://finance.yahoo.com/m/5923591c-70d6-31a4-a558-6ec45ca54080/fmcsa%3A-stop-buying-and.html,1773488982
COST,Prediction: The Metals Company Stock Is a Buy Before March 26,,https://finance.yahoo.com/m/6abe4f42-cf80-3a27-8bb9-0810c6bed502/prediction%3A-the-metals.html,1773489000
COST,"Dow Jones Futures: Oil Prices, Iran War Drive Stocks Lower; Nvidia GTC, Micron Earnings Due",,https://finance.yahoo.com/m/cb03c9e2-36cb-3935-874a-11f3d5b70bb4/dow-jones-futures%3A-oil.html,1773489172
COST,How Much Is Mark Cuban’s Social Security Check?,,https://finance.yahoo.com/news/much-mark-cuban-social-security-115505934.html,1773489305
COST,The Canadian Queer Chamber of Commerce celebrates achievements of the Rainbow Entrepreneurship Knowledge Hub (REKH),,https://finance.yahoo.com/news/canadian-queer-chamber-commerce-celebrates-120000449.html,1773489600
COST,5 New Luxury Cars To Stay Away From Buying,,https://finance.yahoo.com/m/baae74b6-0bf5-396b-8782-23510912cd34/5-new-luxury-cars-to-stay.html,1773489617
COST,SiriusXM do-not-call settlement: One week left to file a claim,,https://finance.yahoo.com/m/7fe42b0c-20a8-3400-9971-4a4f6c6b5150/siriusxm-do-not-call.html,1773489635
COST,How the 24 Hour Fitness Founder built a gym empire,,https://finance.yahoo.com/video/24-hour-fitness-founder-built-120038221.html,1773489638
COST,24 Hour Fitness Founder on the $15K bet that created an empire,,https://finance.yahoo.com/video/24-hour-fitness-founder-15k-120039129.html,1773489639
COST,Gen Z is driving a movie theater comeback,,https://finance.yahoo.com/video/gen-z-driving-movie-theater-120041667.html,1773489641
COST,How TSA slowdowns may add to travel demand woes,,https://finance.yahoo.com/video/tsa-slowdowns-may-add-travel-120056714.html,1773489656
