Date,Close,High,Low,Open,Volume
2019-01-02,224.38253784179688,225.30634138582334,220.5887205734624,220.6156260112586,126925200
2019-01-03,219.02818298339844,222.93860018677992,218.54385766036478,222.63364903749596,144140700
2019-01-04,226.36468505859375,227.01044301239702,221.68294673620602,222.05963659502927,142628800
2019-01-07,228.14944458007812,229.55754588854347,225.7368234968738,226.63370784391665,103139100
2019-01-08,230.29299926757812,230.77732451103,227.80863931434865,230.33785991035955,102512600
2019-01-09,231.36924743652344,232.21232088082903,229.77279445340503,231.0015215835189,95006600
2019-01-10,232.1854248046875,232.43655132774697,229.15395132370935,229.83559218804427,96823900
2019-01-11,232.27513122558594,232.3020366626938,230.5261957013551,231.10916508585217,73858100
2019-01-14,230.85801696777344,231.66520737629008,229.97011025547886,230.3736917743686,70908200
2019-01-15,233.50387573242188,233.81779076904533,231.2257815295091,231.23475913278858,85208300
2019-01-16,234.06890869140625,234.95681551959413,233.72808822825598,233.93435413014328,77636700
2019-01-17,235.84469604492188,236.70572470971874,233.1540430515914,233.1989036905895,96118400
2019-01-18,238.98382568359375,239.4502231203334,235.880613114038,237.65645419931408,127900300
2019-01-22,235.75502014160156,237.72817676902332,234.14063917061264,237.5129332717554,115531200
2019-01-23,236.2483367919922,237.4860417151032,233.78190454892763,236.78647293735455,86030300
2019-01-24,236.3738555908203,236.9568523052835,235.05543452326265,236.0689182013445,59204100
2019-01-25,238.37391662597656,239.19906225440906,236.47252622175893,238.2214342464364,96883400
2019-01-28,236.5622100830078,236.62497118181184,234.79534692945444,236.23036727363132,85613700
2019-01-29,236.2483367919922,237.27077083451346,235.41424082058828,236.70575662116138,66136300
2019-01-30,239.9883270263672,240.83140059178444,237.00171387664844,237.764071126748,92473700
2019-01-31,242.09603881835938,242.5803641367788,239.7103226426378,239.92559354568212,104012100
2019-02-01,242.21261596679688,243.235077392905,241.42335325978183,242.2933322840041,85782500
2019-02-04,243.91665649414062,243.97944496667355,241.5847517450605,242.25741499744487,60744800
2019-02-05,244.93917846679688,245.24411593228007,243.84497821030092,244.3472313735373,79552800
2019-02-06,244.6162567138672,245.15439285929028,243.88083226488828,244.6611173589182,58347800
2019-02-07,242.28436279296875,243.5489456994387,240.62512119361995,243.00185935827335,95482000
2019-02-08,242.580322265625,242.67896641065443,240.21253433604474,241.03768001867587,75788900
2019-02-11,242.71487426757812,243.49515938801105,242.185715707408,243.23508259502825,68021400
2019-02-12,245.83599853515625,246.21267462339748,244.25747336722668,244.32923944071663,72270200
2019-02-13,246.63418579101562,247.47725915735964,246.24853214086997,246.67006882404198,65277200
2019-02-14,246.08721923828125,247.21730267700767,244.73291463287092,245.54908296409022,83234400
2019-02-15,248.76882934570312,248.8047123866205,247.6567014139301,247.86296731503862,97088700
2019-02-19,249.1993408203125,249.85404892766604,247.96163594512325,247.9706135479331,59120800
2019-02-20,249.7016143798828,250.15903422884998,248.66122508601669,249.16347821122895,76610800
2019-02-21,248.81370544433594,249.42358032410993,247.8540324780566,249.06483200487477,64214700
2019-02-22,250.3562774658203,250.5535657208033,248.79568029124144,249.43246043166582,78114600
2019-02-25,250.69711303710938,252.3025437474752,250.61639672707835,251.78236284814005,69030700
2019-02-26,250.5177001953125,251.3966291901217,250.14099678987034,250.3472900084141,56844100
2019-02-27,250.41014099121094,250.7599116821965,248.86749869411122,249.80023878389963,56921600
2019-02-28,249.94374084472656,250.63435935779663,249.6208755950367,250.19486738473202,69268300
2019-03-01,251.50439453125,251.9169537882903,250.06937368023395,251.52232236999222,78880500
2019-03-04,250.5895233154297,252.80482912074706,248.29350118976583,252.5626801597077,106494600
2019-03-05,250.2487030029297,250.91241614415003,249.70161659661557,250.71510045958334,59114600
2019-03-06,248.73289489746094,250.37420838863676,248.41002970815518,250.36523078757773,75039800
2019-03-07,246.65208435058594,248.42789720193213,245.8090111778491,248.28439247351648,94885100
2019-03-08,246.1588897705078,246.32929999963554,244.32926526420027,244.79563530822645,85795800
2019-03-11,249.72850036621094,249.88993299300893,246.84950903868537,246.87641447648502,65098900
2019-03-12,250.67018127441406,251.19038948985488,250.096189562007,250.28452759896626,79667500
2019-03-13,252.32945251464844,253.26221994966156,251.39668507963532,251.5581450725677,80639200
2019-03-14,252.16796875,252.77784344619863,251.72850424402364,252.35630677102787,67518400
2019-03-15,253.4138641357422,254.22461004945322,252.53103603472826,252.72023115792376,81309000
2019-03-18,254.3327178955078,254.630008822451,253.40485900191993,253.6300677381432,62199800
2019-03-19,254.39576721191406,256.16139589718296,253.50394946882147,255.39570823440198,90268100
2019-03-20,253.6300811767578,255.38672040889546,252.52207173026378,254.1796048177356,84609200
2019-03-21,256.4948425292969,256.9002019158172,252.7653712254414,252.81042948481794,79550400
2019-03-22,251.55813598632812,255.65692362450096,251.4950709478828,255.1344514991071,122659300
2019-03-25,251.36900329589844,252.40495803609156,250.10783980821537,251.21584925143233,85575200
2019-03-26,253.24264526367188,254.19752784183717,251.83734533764397,253.12553235462067,68125900
2019-03-27,251.91848754882812,253.81926358336898,250.369050339607,253.23369887450275,72224700
2019-03-28,252.87338256835938,253.32380006375664,251.39602747893355,252.54909516749842,56238500
2019-03-29,254.46780395507812,254.79209126145514,253.26068871807334,254.38673212848389,82186800
2019-04-01,257.4856872558594,257.78297823712984,256.19749964716954,256.46776667480685,77617900
2019-04-02,257.61175537109375,257.84598124041696,256.81901626689137,257.67482041149606,40070400
2019-04-03,258.0171813964844,259.224297037764,257.41360983019285,258.82792742524794,68243200
2019-04-04,258.7017822265625,258.9540149205968,257.6478206980734,258.34145373384234,48997500
2019-04-05,259.9538879394531,260.00793582463683,259.0800771405904,259.36835085576655,58621700
2019-04-08,260.152099609375,260.2601953909309,258.872902047936,259.53052137413107,53566300
2019-04-09,258.8188781738281,259.51251116404137,258.2693820694969,259.18822378928195,66142300
