Date,Close,High,Low,Open,Volume
2019-01-02,126.3294448852539,127.108793903441,123.17406751219607,123.55422856844386,8788000
2019-01-03,121.77694702148438,124.7707550698101,121.53933549663046,124.70423341431221,9428300
2019-01-04,127.02326202392578,127.91665657589527,123.67780368330445,123.97243071592916,11065800
2019-01-07,129.31373596191406,130.36869942230035,127.39388954255439,127.78356399688913,12928000
2019-01-08,130.0170440673828,131.33812307225082,129.21869729513423,131.12903017920303,9243000
2019-01-09,131.54722595214844,132.56416464352873,130.7963883695076,131.44267949768755,9987600
2019-01-10,131.7943572998047,131.93692858753386,129.59889578960787,130.02658064836297,12514900
2019-01-11,131.21458435058594,131.72781771304213,130.59681902778547,130.9199573657976,5860100
2019-01-14,130.3021697998047,131.2810980992841,129.87447057003004,130.19762335509273,8666700
2019-01-15,130.53030395507812,130.8914671572082,128.54393534779572,130.1691552551646,7594900
2019-01-16,130.53030395507812,131.98444121325295,130.27370173461193,131.5377439376341,7258000
2019-01-17,130.47329711914062,131.0720647108701,129.81750680481184,130.17867005089863,5864900
2019-01-18,131.63279724121094,131.72784477295792,129.86502046712476,131.45221563222202,10263500
2019-01-22,131.20509338378906,132.6022077856216,130.1881400495481,131.06252210678088,8102300
2019-01-23,130.21664428710938,132.0889671722013,129.39928498446918,131.88938769839967,5465800
2019-01-24,130.87242126464844,131.46168968085442,129.75093613773092,130.31167870118966,4924800
2019-01-25,131.7943572998047,132.96336644765955,130.87245141424432,132.1079967301494,9756300
2019-01-28,129.24722290039062,130.6918464088886,128.12572321377354,130.6918464088886,9857200
2019-01-29,128.3063201904297,129.912527556131,127.46044947444805,129.81748003658527,7457700
2019-01-30,130.7773895263672,131.06250303446336,128.79100690594797,129.35176397703418,8078100
2019-01-31,128.31581115722656,129.00011264917305,126.69060599051451,127.7265571789116,20095700
2019-02-01,133.20095825195312,133.39105328441048,128.55341895178213,128.67697782243644,13248300
2019-02-04,134.48399353027344,134.50300592920075,132.27901932546482,132.8587742239523,11882700
2019-02-05,135.4629364013672,135.8621098086204,134.7976473892785,134.95921654205625,8455700
2019-02-06,134.47451782226562,135.3583987452893,134.05633198685985,134.92121500988418,6146900
2019-02-07,133.21998596191406,134.06585674556186,132.3075935110351,132.98238164625775,10675300
2019-02-08,133.41957092285156,133.4385688252202,131.65179435412648,131.81336353755322,5950700
2019-02-11,133.81875610351562,135.23486857119187,133.48610425418374,134.25593993165924,7600100
2019-02-12,134.94976806640625,135.7196038184856,134.2464539893097,134.75967298995656,6090000
2019-02-13,136.37535095214844,137.5253474886197,135.7860825057004,135.80509490776998,6885600
2019-02-14,136.29922485351562,136.60388166660346,135.5756376833149,136.12784359253632,6314000
2019-02-15,137.96531677246094,137.96531677246094,136.92755756855843,137.6225688807333,6536000
2019-02-19,137.51785278320312,137.93676852634084,137.11798262680605,137.49880719646245,8406700
2019-02-20,137.79396057128906,137.89868951631118,136.64195670357316,137.43218155646233,5283100
2019-02-21,137.09896850585938,138.079605798942,136.31825907309798,137.43220097643402,8573400
2019-02-22,138.8793182373047,139.2696728748215,137.49881097495597,137.49881097495597,9680800
2019-02-25,139.06021118164062,140.14557718548338,138.82219219371436,139.8694815516004,9731200
2019-02-26,139.99322509765625,140.33597298109888,138.07004236100124,138.24140903896034,7332500
2019-02-27,140.16464233398438,140.4217069445287,138.9269405185255,139.47914639088495,9731200
2019-02-28,141.02146911621094,141.68793382785725,140.17412219764364,140.2026833107114,6250200
2019-03-01,142.30673217773438,142.7446787908825,141.26897332536188,142.29721665223806,7016800
2019-03-04,140.86911010742188,142.9922345966582,139.90750446787533,142.87799017513603,6979700
2019-03-05,140.8595428466797,142.1353203084226,140.74529845533456,140.9071495189124,9678600
2019-03-06,140.72633361816406,141.4023138856504,140.35502460574907,140.907230359922,8186400
2019-03-07,139.79330444335938,140.72633474632627,139.04115635607548,140.2026901021777,8761700
2019-03-08,140.2883758544922,140.41213583058186,137.57495399581433,138.4699075780456,5168100
2019-03-11,143.4492950439453,143.7349207611331,140.92629935176248,141.0119827086606,9361500
2019-03-12,144.45848083496094,145.80091142044523,143.63969493113996,143.763469454313,9465100
2019-03-13,145.1630096435547,146.6577612111393,144.75360946349906,145.00115848830825,8308900
2019-03-14,146.81005859375,147.27658088030245,145.00112071572744,145.24865514852934,9364900
2019-03-15,148.00973510742188,149.30455899389293,146.0103697807665,146.35311770740668,20162000
2019-03-18,147.53367614746094,148.9141831873953,147.01954706684936,148.4476608035106,9689400
2019-03-19,147.18141174316406,148.47623556452956,146.75298048828753,148.47623556452956,9236100
2019-03-20,146.38165283203125,147.4479730688944,145.3915004017331,146.94337406198426,6391400
2019-03-21,148.3334197998047,149.17123666606224,145.96274571195744,145.97227576803874,7027100
2019-03-22,145.73423767089844,148.21914135772275,145.5247798499556,147.5622213129721,8119800
2019-03-25,145.69615173339844,146.67678859957317,144.27755362748903,145.0582627203786,7568000
2019-03-26,147.85739135742188,148.14301703521014,146.4007163809798,146.4007163809798,15594400
2019-03-27,146.8291473388672,148.39055124311002,146.01036147886634,148.019242220989,12253800
2019-03-28,147.257568359375,147.64792294019497,146.24837029385947,147.50510284774833,16902200
2019-03-29,148.70474243164062,148.7999413085096,147.5051174573795,148.2667811099606,12164400
2019-04-01,149.72348022460938,150.17095714774018,149.04751433819692,149.98054483582942,6420100
2019-04-02,150.2185516357422,150.57081511049319,149.2379145080351,150.10430716339636,6215100
2019-04-03,150.86598205566406,151.48482569676256,150.28521506565994,150.9516654162725,8209300
2019-04-04,150.0852813720703,151.0849642195377,149.02847628089543,150.93262855129854,5100200
2019-04-05,150.0948028564453,151.0278479657693,149.69493260710482,150.4280353279938,4178300
2019-04-08,150.19000244140625,150.28521586093822,148.82854061277374,149.99959012987048,5604700
2019-04-09,149.9424285888672,150.41846650669993,148.97130716878158,149.05699050738562,6364100
2019-04-10,150.96119689941406,151.1706548213871,149.9710440635202,150.41852103068723,3918600
2019-04-11,150.294677734375,151.66566913201265,149.89480766465118,151.4847724160017,5771400
2019-04-12,151.9894256591797,151.9894256591797,150.29473138973762,151.1040018731633,6745100
2019-04-15,152.7511444091797,152.78922107417912,151.56104887436314,152.17037720708785,8142800
2019-04-16,152.55111694335938,153.37943285265527,151.903712306464,153.32229609570103,6021400
2019-04-17,152.7511444091797,153.3509572075379,152.6273698247481,153.16053029994055,4609100
2019-04-18,152.4844970703125,153.37945084307273,151.38008541339445,153.2175851373378,7859400
2019-04-22,152.71298217773438,152.78914999983496,151.44673390195138,151.570493901279,4602600
2019-04-23,153.91265869140625,154.12211664035289,152.20843397293413,153.28428484456632,6522900
2019-04-24,153.75079345703125,154.26490822191002,152.9510383941207,153.9983280434499,7376500
2019-04-25,153.3032989501953,153.85550483603905,150.95166980165752,152.82726089628125,8862500
2019-04-26,155.12171936035156,155.2169327613289,152.71296849638335,153.53175435120232,7525400
2019-04-29,156.2832489013672,156.61648126826708,155.28358085571733,155.38830978295516,10003600
2019-04-30,156.54983520507812,157.75897568077912,156.06428171996615,157.07347986207662,6432700
2019-05-01,154.98843383789062,157.79706944589626,154.95035719290385,157.60664263838515,5248100
2019-05-02,153.39840698242188,155.26448144055104,152.741472532736,154.3314514752464,6054900
2019-05-03,154.27439880371094,154.94086366960553,153.4556128087095,154.5219478776242,4317500
2019-05-06,154.50289916992188,154.85516265719198,150.61842716931596,150.62795722736814,10442400
2019-05-07,152.53211975097656,154.02687168716432,151.07542993949178,153.23664677372258,6413600
2019-05-08,153.0557098388672,153.95066347059043,151.87514507150863,152.11316403622118,5445900
2019-05-09,152.15130615234375,152.18939733850303,149.63782538447674,151.2468366027288,6813700
2019-05-10,153.00816345214844,153.66508378820282,149.73301919328716,151.24681677522264,5192500
2019-05-13,149.7900848388672,151.11346959751603,148.92369238882821,149.65679481020916,9730000
2019-05-14,152.53211975097656,153.77933712883848,150.37090291674576,150.52323858072867,9756700
2019-05-15,154.98843383789062,155.34071180976557,151.47528586871232,151.68474373495394,7547000
2019-05-16,157.21022033691406,157.9063153900342,155.29360913624618,155.85619454914575,9745500
2019-05-17,156.46641540527344,157.52484565986214,155.6177651687019,155.70358029883545,4582500
2019-05-20,155.87521362304688,157.0862137196625,154.78817840518033,155.76079345796674,4747400
2019-05-21,156.24708557128906,157.20062569694082,155.6082154330865,156.93363562574774,9095700
2019-05-22,156.60946655273438,157.93488700841337,155.85616155605703,155.99920133321032,5416400
2019-05-23,154.00625610351562,156.61896121191313,153.34832565729926,155.90380613788614,6138000
2019-05-24,155.0837860107422,155.81801607878097,154.20653072484436,155.18867602046203,4105600
2019-05-28,156.10406494140625,158.06835532976294,155.74171502709532,155.80845527191318,10202300
2019-05-29,155.1696319580078,155.90386217186406,153.97770640623514,155.71315699355492,6456000
2019-05-30,155.1982421875,155.903867375656,154.41634656537252,155.23639195435865,4750600
2019-05-31,153.8346405029297,154.59747556442858,153.10041048312348,153.4341553693632,5079000
2019-06-03,151.2314910888672,155.26496231558167,149.46743578753532,154.0348872319869,8034600
2019-06-04,154.78819274902344,154.8263279576279,151.27915701275185,152.84296246319087,6684800
2019-06-05,157.7060089111328,157.71553907492716,155.13145334942473,155.9038185629503,7769300
2019-06-06,159.16494750976562,159.62264278664517,157.27694176150086,158.17327198488155,13738500
2019-06-07,162.14956665039062,163.6370875181477,160.00410050269326,160.1948056947361,10528800
2019-06-10,162.8837432861328,164.02798861150993,162.5881336034441,163.85634381027558,7565900
2019-06-11,162.39749145507812,164.18060765740216,160.5953003674707,163.96129740120372,6082900
2019-06-12,163.61798095703125,163.64658600280598,161.81579032387012,162.46420531112884,6772000
2019-06-13,161.4820556640625,164.19963678979857,160.88132061895848,164.14242669976397,6901400
2019-06-14,161.7776641845703,162.71212968197696,160.99575408989327,161.88255420824964,4999900
2019-06-17,161.68228149414062,162.50232668622638,161.17690632865552,161.8443815896859,6410200
2019-06-18,161.41526794433594,162.74068810939093,159.76564763528012,162.72161323331227,6969300
2019-06-19,162.7598114013672,163.24611176202743,161.34857569896116,161.5202059851218,6323900
2019-06-20,165.66812133789062,165.85882651597868,163.77057062371418,164.49525612039778,11474100
2019-06-21,165.38204956054688,166.6883952546145,165.11505941212243,165.21994943828003,11728200
2019-06-24,165.77294921875,166.6120545977248,164.69544426920243,166.48810428086736,5554900
2019-06-25,163.32232666015625,166.81228647998694,162.6643817457774,166.68832162659226,9899900
2019-06-26,163.11264038085938,164.38085102899993,162.8837999660738,163.42731050106332,7129900
2019-06-27,163.27468872070312,164.3903290384329,162.40697817349275,164.12333893931137,5873400
2019-06-28,165.48687744140625,165.48687744140625,162.59765227390469,163.97075226437403,8442700
2019-07-01,165.85882568359375,167.38448165051398,164.71458007093548,167.18424630698178,6103200
2019-07-02,167.1365203857422,167.1746701405945,165.24851491686834,166.011349965362,5238100
2019-07-03,168.6527099609375,168.76714471918163,167.55614416439226,167.82313435050546,4066600
2019-07-05,168.45240783691406,168.80521303948467,166.40228776689563,167.6895728003925,5840400
2019-07-08,168.00425720214844,168.40474235693685,167.25095226467283,168.10914721053607,6720300
2019-07-09,169.4727020263672,169.62527195605625,167.15560623742536,167.2795565741621,4894300
2019-07-10,170.97930908203125,171.88516945820695,170.28322873611145,170.28322873611145,5110600
2019-07-11,172.3429412841797,172.53364650305954,171.122410423498,171.75173619081394,6986600
2019-07-12,171.9519500732422,172.92456540043003,170.60745455475788,172.92456540043003,7196700
2019-07-15,172.18072509765625,172.65749509852495,171.57999024060464,172.1711803857248,4490400
2019-07-16,170.97930908203125,172.4763743388691,170.42625396134488,171.99005947333487,6800200
2019-07-17,170.82675170898438,171.8375167245167,170.693256638989,171.21770675321062,3994200
2019-07-18,172.1426544189453,172.22846956655087,170.28325347146273,170.3309334034233,4736300
2019-07-19,170.9125518798828,173.3917476872803,170.81719203926917,173.3917476872803,5327100
2019-07-22,172.18072509765625,172.5716654404706,170.8171553292416,171.29392533011028,4862100
2019-07-23,172.49545288085938,172.8482727234693,170.74094203336213,172.4859227147944,7193000
2019-07-24,174.81256103515625,174.9079063440099,170.9221145070857,172.39056030230208,8169300
2019-07-25,173.15341186523438,175.4419177417923,172.87689152862689,175.32748299054694,6085800
2019-07-26,175.15582275390625,175.27978765078905,173.74458716196347,173.9352923149497,5056300
2019-07-29,174.69813537597656,175.5181806657803,174.240425528269,175.34653583542217,4621800
2019-07-30,173.0961456298828,174.86020076161697,172.8482304240167,174.05921596214898,5236600
2019-07-31,169.7301788330078,173.59202008159818,167.8803082638148,173.34409028374503,7981200
2019-08-01,170.8457794189453,173.9257098940851,169.892239310864,170.86485429506982,8417300
2019-08-02,169.17710876464844,169.98762379400912,166.5739479660269,169.73016385352628,8264600
2019-08-05,161.01483154296875,165.4392583899619,159.2221709459543,164.01847796468218,16858300
2019-08-06,164.46664428710938,164.91480943955983,162.22583307472888,163.8086990824535,10281300
2019-08-07,167.17471313476562,167.56565364839966,162.42607137531266,163.5321817526057,8292800
2019-08-08,171.54190063476562,171.5895805615421,168.36662411961808,169.21527443670436,7602800
2019-08-09,170.73143005371094,171.73265049231406,169.58718435953884,171.32262050989397,5373700
2019-08-12,168.14727783203125,170.34995339822504,167.44166738564095,169.19617788729923,7394400
2019-08-13,170.3118133544922,170.60740848443535,166.11624235231886,166.28787260201415,6667700
2019-08-14,165.44876098632812,169.01500670424656,165.1150306339,168.0519363045618,7293500
2019-08-15,168.3230743408203,169.03926145544978,165.69705492051233,166.40368354826032,6698000
2019-08-16,170.19467163085938,170.69123202203744,169.21110933368803,169.9750450345324,8312200
2019-08-19,171.63665771484375,172.28599379237107,170.0896834303317,172.28599379237107,5285000
2019-08-20,171.15916442871094,172.48649720486242,170.4429773645099,171.3405862454502,3793600
2019-08-21,172.7825469970703,173.49873417789988,172.11410854246918,172.5438179367938,3695900
2019-08-22,171.97084045410156,174.1098578071725,170.55756867716264,173.7469850191065,6659900
2019-08-23,167.32997131347656,172.36238405806125,166.38461354621302,171.45521652982356,7051900
2019-08-26,169.5835723876953,169.65996743576997,167.4445693250672,168.45677821304164,7754400
2019-08-27,170.33795166015625,171.1114314292101,168.9628700392318,170.28065902109515,4022100
2019-08-28,170.6148681640625,170.92044832857053,168.0938900903281,169.01061601298798,4401900
2019-08-29,173.00216674804688,173.2122494783749,171.22602202764213,172.26687719189877,4679200
2019-08-30,172.66790771484375,173.96657940860206,171.569745638465,173.78515761905237,4061200
2019-09-03,171.12098693847656,173.07856814058454,171.02550405719413,172.38148336667444,4644000
2019-09-04,173.5751495361328,173.9857565738391,171.9326922435733,172.7443624009696,4154800
